Timestamp,X (yards),Y (yards)
13:01:04.507,2.175,1.812
13:01:04.810,1.939,1.718
13:01:05.257,1.987,1.645
13:01:08.164,2.018,1.710
13:01:08.606,2.143,1.730
13:01:13.185,2.121,1.705
13:01:13.614,1.940,1.633
13:01:14.150,2.049,1.690
13:01:14.482,1.850,1.637
13:01:15.128,1.858,1.628
13:01:17.772,1.994,1.636
13:01:18.366,2.045,1.712
13:01:18.735,2.105,1.708
13:01:19.744,2.015,1.610
13:01:22.217,2.065,1.636
13:01:22.353,2.037,1.671
13:01:24.639,1.947,1.624
13:01:24.968,1.930,1.628
13:01:25.238,1.991,1.708
13:01:25.538,2.040,1.735
13:01:27.424,1.911,1.716
13:01:27.861,2.109,1.685
13:01:28.424,1.825,1.697
13:01:29.755,1.933,1.641
13:01:31.879,1.979,1.603
13:01:32.333,2.062,1.622
13:01:32.452,2.045,1.712
13:01:36.966,1.727,1.796
13:01:37.455,2.125,1.519
13:01:38.073,2.473,1.378
13:01:38.849,2.382,2.994
13:01:46.109,2.842,1.722
13:01:46.347,2.509,2.060
13:01:46.568,2.600,1.869
13:01:46.837,2.660,1.954
13:01:47.064,2.575,2.082
13:01:55.862,2.768,2.561
13:01:56.106,2.869,2.677
13:01:56.232,2.435,2.196
13:01:56.614,3.157,2.457
13:02:05.874,2.869,2.740
13:02:06.032,2.802,2.458
13:02:06.130,3.274,3.091
13:02:06.702,3.148,2.415
13:02:15.912,6.944,3.512
13:02:16.116,6.953,3.543
13:02:16.464,6.912,3.600
13:02:17.798,6.987,3.501
13:02:18.310,6.940,3.497
13:02:26.882,3.273,3.281
